Bairro   ,PBF,Extrema Pobreza,Pobreza,Baixa Renda,Acima de 1/2 S.M.,Cadastrados em extrema probreza
PAVUNA,7.388 ,5.870 ,1.038 ,1.472 ,1.085 ,7.221 
VILA KENNEDY,7.237 ,6.171 ,328 ,476 ,495 ,7.412 
CAMPINHO,715 ,567 ,78 ,133 ,111 ,705 
BANCARIOS,0,0,206 ,296 ,223 ,0
HIGIENOPOLIS,728 ,571 ,166 ,172 ,176 ,731 
VILA KOSMOS,753 ,596 ,135 ,218 ,148 ,731 
AGUA SANTA,0,0,14 ,69 ,83 ,0
ABOLICAO,0,0,16 ,81 ,163 ,0
LAPA,73 ,65 ,4 ,5 ,5 ,79 
ROCINHA,8.032 ,6.819 ,632 ,1.030 ,936 ,8.185 
PENHA,8.786 ,7.216 ,424 ,870 ,990 ,8.957 
PECHINCHA,823 ,639 ,129 ,234 ,232 ,807 
PORTUGUESA,1.003 ,669 ,240 ,341 ,249 ,857 
CAMPO DOS AFONSOS,6 ,4 ,0 ,2 ,1 ,0
QUINTINO DE BOCAIUVA,10 ,9 ,1 ,2 ,0 ,9 
SULACAP,7 ,9 ,1 ,5 ,1 ,9 
INHOAIBA,8.618 ,6.463 ,626 ,783 ,824 ,9.040 
COSMOS,8.786 ,6.305 ,758 ,1.012 ,989 ,9.152 
